,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,Dörtyol,36.8616,36.2289,46.0,73,0,1.01,TR,1611954973
280,Sohag,26.557,31.6948,53.6,54,0,5.75,EG,1611954973
281,Belmonte,-15.8631,-38.8828,84.2,74,75,4.61,BR,1611954973
282,Beringovskiy,63.05,179.3167,-15.97,86,16,9.33,RU,1611954683
283,Antalaha,-14.9003,50.2788,75.85,88,93,3.49,MG,1611954973
284,Lorengau,-2.0226,147.2712,82.65,78,98,9.71,PG,1611954713
285,Changji,44.0167,87.3167,1.4,85,94,2.24,CN,1611954974
286,Tambura,5.6,27.4667,76.14,27,90,3.96,SS,1611954974
287,Ledyard Center,41.4398,-72.0142,19.0,51,13,5.99,US,1611954974
288,Coronel Vivida,-25.9797,-52.5678,69.1,97,92,5.7,BR,1611954911
289,Uyemskiy,64.4743,40.8524,17.6,86,90,13.42,RU,1611954974
290,Kushiro,42.975,144.3747,24.85,96,100,4.54,JP,1611954798
291,Conceição do Araguaia,-8.2578,-49.2647,82.0,81,100,2.48,BR,1611954974
292,Kandrian,-6.2167,149.55,81.34,78,100,13.69,PG,1611954974
293,Nanortalik,60.1432,-45.2371,32.79,90,100,8.86,GL,1611954974
294,Kharp,66.8014,65.8081,-37.62,79,48,1.28,RU,1611954974
295,Mount Gambier,-37.8333,140.7667,59.0,94,90,12.66,AU,1611954975
296,Ōme,35.7839,139.2431,32.0,63,1,3.44,JP,1611954975
297,Brâncoveni,44.3167,24.3,43.0,87,0,6.55,RO,1611954975
298,Itaqui,-29.1253,-56.5531,90.68,55,83,3.76,BR,1611954975
299,Torbay,47.6666,-52.7314,28.0,100,90,17.27,CA,1611954975
300,Kurchum,48.5722,83.6542,-4.7,92,34,1.79,KZ,1611954975
301,Colac,-38.3333,143.5833,57.99,1,98,5.99,AU,1611954975
302,Vila Franca do Campo,37.7167,-25.4333,60.8,82,20,6.91,PT,1611954975
303,San Jose,37.3394,-121.895,57.0,54,40,5.75,US,1611954972
304,Mandalgovi,45.7625,106.2708,15.33,90,59,13.4,MN,1611954975
305,Tigil',57.8,158.6667,-9.74,91,97,5.7,RU,1611954976
306,Montrose,38.4166,-108.2673,53.6,22,75,14.97,US,1611954934
307,Rafsanjān,30.4067,55.9939,55.76,36,64,6.29,IR,1611954976
308,Coyhaique,-45.5752,-72.0662,62.6,39,20,10.36,CL,1611954976
309,Jalu,29.0331,21.5482,55.36,69,0,7.07,LY,1611954931
310,Samur,41.8253,48.486,40.57,89,100,2.26,RU,1611954976
311,Mariehamn,60.0973,19.9348,28.4,74,20,14.97,AX,1611954976
312,Inhambane,-23.865,35.3833,79.12,84,20,3.8,MZ,1611954976
313,Mackay,-21.15,149.2,75.99,88,75,6.91,AU,1611954976
314,Tazovsky,67.4667,78.7,-37.5,79,0,6.4,RU,1611954680
315,Flinders,-34.5833,150.8552,71.01,98,99,4.0,AU,1611954977
316,Lebowakgomo,-24.2,29.5,66.2,94,40,8.05,ZA,1611954977
317,Hudiksvall,61.729,17.1036,6.44,95,61,5.3,SE,1611954977
318,Dembī Dolo,8.5333,34.8,66.88,44,97,2.46,ET,1611954977
319,Sola,-13.8833,167.55,86.0,79,40,2.3,VU,1611954977
320,Pīpār,26.3856,73.5378,54.07,35,0,8.55,IN,1611954977
321,Okha,53.5739,142.9478,-4.74,90,99,10.51,RU,1611954977
322,Chui,-33.6971,-53.4616,77.14,68,2,7.61,UY,1611954977
323,Dovers,12.8833,-61.1833,78.8,78,40,12.66,VC,1611954977
324,Leningradskiy,69.3833,178.4167,-23.85,84,97,8.97,RU,1611954978
325,Waingapu,-9.6567,120.2641,78.28,81,80,11.88,ID,1611954978
326,Dauphin,51.1494,-100.0502,14.0,85,90,13.8,CA,1611954976
327,Guia Lopes da Laguna,-21.4578,-56.1142,81.28,74,97,8.05,BR,1611954978
328,Maltahöhe,-24.8333,16.9833,80.02,18,1,8.52,NA,1611954978
329,Camaná,-16.6228,-72.7111,74.43,64,0,7.02,PE,1611954978
330,Uíge,-7.6087,15.0613,67.32,95,97,1.28,AO,1611954978
331,Fukuechō,32.6881,128.8419,43.34,61,0,10.22,JP,1611954978
332,Turukhansk,65.8167,87.9833,-30.37,77,96,5.5,RU,1611954978
333,Jiaojiang,28.6803,121.4428,37.0,87,0,2.82,CN,1611954979
334,Lambaréné,-0.7001,10.2406,77.79,87,100,4.63,GA,1611954979
335,Klaksvík,62.2266,-6.589,33.8,64,75,9.22,FO,1611954979
336,Safi,32.2994,-9.2372,59.22,86,0,7.02,MA,1611954979
337,Meulaboh,4.1363,96.1285,73.96,89,100,6.8,ID,1611954979
338,Vaitape,-16.5167,-151.75,80.91,69,53,6.69,PF,1611954979
339,Portland,45.5234,-122.6762,46.99,76,75,4.61,US,1611954751
340,Ha Tinh,18.3333,105.9,62.83,88,93,3.15,VN,1611954979
341,Samarai,-10.6167,150.6667,81.75,77,93,7.85,PG,1611954979
342,Fairburn,33.5671,-84.581,53.6,26,20,5.75,US,1611954979
343,Gijang,35.2442,129.2139,21.2,53,0,2.3,KR,1611954981
344,Papar,5.7333,115.9333,73.4,94,20,4.61,MY,1611954981
345,Mayo,38.8876,-76.5119,33.01,43,90,14.97,US,1611954749
346,Kulhudhuffushi,6.6221,73.07,80.44,69,0,8.01,MV,1611954981
347,Novonukutskiy,53.7002,102.7117,-5.15,91,100,2.55,RU,1611954981
348,Karratha,-20.7377,116.8463,81.05,77,40,3.31,AU,1611954981
349,Lethem,3.3803,-59.7968,88.59,46,88,10.65,GY,1611954981
350,Avera,33.194,-82.5271,51.8,32,1,4.61,US,1611954982
351,Lucapa,-8.4192,20.7447,66.18,94,77,0.89,AO,1611954982
352,Tromsø,69.6496,18.957,12.2,67,0,3.44,NO,1611954982
353,Alyangula,-13.8483,136.4192,82.4,83,100,9.22,AU,1611954982
354,Dubti,11.7361,41.0853,68.68,67,0,7.61,ET,1611954982
355,Coos Bay,43.3665,-124.2179,50.0,76,20,8.05,US,1611954982
356,Manaure,11.7751,-72.4445,85.5,48,27,15.32,CO,1611954982
357,Tsimmerbude,54.675,20.1347,28.0,93,75,8.95,RU,1611954982
358,Kuloy,61.0305,42.4925,17.19,97,100,7.34,RU,1611954982
359,Port Lincoln,-34.7333,135.8667,61.61,73,54,12.28,AU,1611954983
360,Baruun-Urt,46.6806,113.2792,-9.74,84,68,4.05,MN,1611954983
361,Adrar,20.5022,-10.0711,69.94,21,0,9.22,MR,1611954983
362,Vallenar,-28.5708,-70.7581,83.86,29,0,8.79,CL,1611954983
363,Ambilobe,-13.2,49.05,74.16,93,98,1.97,MG,1611954983
364,Jacareacanga,-6.2222,-57.7528,88.75,58,73,2.1,BR,1611954983
365,Barra de Tecoanapa,16.5167,-98.75,84.54,50,84,9.62,MX,1611954983
366,Kjøpsvik,68.097,16.3742,19.99,67,1,5.75,NO,1611954983
367,Harūr,12.0667,78.5,66.04,89,58,1.99,IN,1611954983
368,Ko Samui,9.5357,99.9357,79.74,80,20,11.77,TH,1611954928
369,Kaitangata,-46.2817,169.8464,55.99,74,78,3.71,NZ,1611954984
370,Sioux Lookout,50.1001,-91.917,14.0,67,75,5.75,CA,1611954984
371,Bud,39.447,-86.1758,33.01,60,1,6.8,US,1611954984
372,Caxito,-8.5785,13.6643,80.6,78,20,6.91,AO,1611954984
373,Labis,2.385,103.021,72.14,92,95,4.21,MY,1611954984
374,Sitka,57.0531,-135.33,37.4,52,90,13.8,US,1611954726
375,Hambantota,6.1241,81.1185,75.96,78,100,7.43,LK,1611954984
376,Tiznit Province,29.5833,-9.5,63.48,47,0,1.23,MA,1611954923
377,Bonthe,7.5264,-12.505,78.89,83,0,7.14,SL,1611954985
378,Hāgere Hiywet,8.9833,37.85,59.54,35,0,6.98,ET,1611954985
379,Brownsville,25.9018,-97.4975,73.99,53,90,12.66,US,1611954909
380,Lipin Bor,60.2622,37.9763,21.63,97,100,11.36,RU,1611954985
381,Tsumeb,-19.2333,17.7167,68.0,88,100,5.55,NA,1611954985
382,Pangnirtung,66.1451,-65.7125,-9.4,77,1,2.3,CA,1611954985
383,Gushi,34.6425,109.5843,40.06,59,99,4.7,CN,1611954986
384,Arlit,18.7369,7.3853,62.96,25,28,5.3,NE,1611954986
385,Shenjiamen,29.9576,122.298,44.04,70,0,11.27,CN,1611954986
386,Guerrero Negro,27.9769,-114.0611,66.4,55,0,13.47,MX,1611954986
387,Yarmouth,41.7057,-70.2286,19.99,63,90,16.11,US,1611954718
388,Vicksburg,32.3526,-90.8779,60.8,25,1,4.56,US,1611954915
389,Kattivākkam,13.2167,80.3167,75.2,88,40,8.23,IN,1611954986
390,Tabasalu,59.4303,24.5331,26.6,93,90,10.36,EE,1611954718
391,Anadyr,64.75,177.4833,-20.0,76,0,6.46,RU,1611954986
392,Porto-Novo,6.4965,2.6036,84.2,84,40,12.66,BJ,1611954986
393,Gravdal,68.1214,13.5031,19.4,79,40,3.44,NO,1611954987
394,Llano Largo,7.9,-80.4333,87.8,48,20,18.41,PA,1611954987
395,Ahipara,-35.1667,173.1667,67.23,58,0,7.78,NZ,1611954987
396,Tabou,4.423,-7.3528,77.99,86,79,5.53,CI,1611954987
397,Bonavista,48.6499,-53.1147,27.0,93,100,5.75,CA,1611954987
398,Lockport,41.5895,-88.0578,32.0,64,90,12.66,US,1611954986
399,Shubarshi,48.5872,57.1869,23.02,95,100,12.39,KZ,1611954987
400,Clyde River,70.4692,-68.5914,-13.0,77,90,8.05,CA,1611954987
401,Maningrida,-12.0667,134.2667,76.98,90,98,5.61,AU,1611954987
402,Menongue,-14.6585,17.691,62.24,92,100,3.31,AO,1611954988
403,Şile,41.1754,29.6133,48.2,61,0,16.11,TR,1611954988
404,Kutum,14.2,24.6667,57.47,34,10,11.81,SD,1611954988
405,Biltine,14.5333,20.9167,70.11,22,65,15.55,TD,1611954988
406,Begunitsy,59.5855,29.3176,32.0,100,90,6.71,RU,1611954988
407,Mae Sai,20.4335,99.8762,69.8,88,20,4.61,TH,1611954988
408,Sakakah,29.9697,40.2064,50.0,53,0,8.05,SA,1611954956
409,Muravlenko,63.7898,74.523,-41.98,80,5,8.32,RU,1611954988
410,Lavrentiya,65.5833,-171.0,-15.83,82,0,13.31,RU,1611954988
411,Savannakhet,16.566,104.751,60.57,85,33,7.49,LA,1611954988
412,Kilgore,32.3863,-94.8758,59.0,38,1,9.22,US,1611954989
413,Victoria Point,-27.5833,153.3,79.0,70,25,3.0,AU,1611954989
414,Kawalu,-7.3817,108.2082,71.17,90,100,1.7,ID,1611954921
415,Fairbanks,64.8378,-147.7164,3.99,77,1,1.95,US,1611954759
416,Ulaangom,49.9811,92.0667,-9.53,89,64,0.92,MN,1611954989
417,Mahajanga,-15.7167,46.3167,75.2,88,40,8.05,MG,1611954989
418,Pevek,69.7008,170.3133,-28.97,85,5,2.91,RU,1611954990
419,Ardakān,32.31,54.0175,57.2,30,40,2.3,IR,1611954990
420,Enderby,52.5878,-1.2062,45.0,97,100,4.76,GB,1611954990
421,Imeni Poliny Osipenko,52.4201,136.4853,-7.13,91,100,11.5,RU,1611954990
422,Berlevåg,70.8578,29.0864,21.2,79,75,9.22,NO,1611954990
423,Songea,-10.6833,35.65,64.24,95,100,1.45,TZ,1611954991
424,Okhotsk,59.3833,143.3,-13.52,84,0,5.88,RU,1611954991
425,Åmot,59.5714,7.9877,9.64,85,0,5.88,NO,1611954991
426,Garoowe,8.4054,48.4845,65.43,84,0,12.88,SO,1611954991
427,Sumbe,-11.2061,13.8437,75.83,83,100,6.17,AO,1611954991
428,Waitati,-45.75,170.5667,55.0,66,25,8.99,NZ,1611954991
429,Itaituba,-4.2761,-55.9836,82.4,83,20,3.11,BR,1611954991
430,Aberdeen,57.1437,-2.0981,30.99,93,45,5.75,GB,1611954991
431,Beloha,-25.1667,45.05,77.63,82,36,10.09,MG,1611954991
432,Ol'ga,43.7444,135.2892,-8.21,81,31,8.84,RU,1611954992
433,Nyurba,63.2842,118.3319,-49.85,76,81,2.21,RU,1611954700
434,Mabaruma,8.2,-59.7833,79.32,77,91,5.41,GY,1611954992
435,Shepsi,44.0361,39.1489,43.11,71,100,9.28,RU,1611954992
436,Gouyave,12.1646,-61.7296,82.4,65,75,13.8,GD,1611954992
437,Mogadishu,2.0371,45.3438,76.24,77,10,22.32,SO,1611954742
438,Nouadhibou,20.931,-17.0347,75.2,38,0,14.97,MR,1611954992
439,Valadares,41.1474,-7.9812,55.0,9,100,4.0,PT,1611954992
440,Innisfail,-17.5333,146.0333,76.3,90,80,6.17,AU,1611954992
441,Beyneu,45.3167,55.2,38.68,84,100,10.63,KZ,1611954992
442,Kendari,-3.945,122.4989,73.81,94,100,2.3,ID,1611954992
443,Deer Lake,49.1667,-57.4316,24.8,58,1,3.44,CA,1611954993
444,Chichibu,35.9903,139.0764,26.6,63,1,3.44,JP,1611954993
445,Chapais,49.7834,-74.8492,1.4,78,90,11.5,CA,1611954993
446,Forsytheganj,52.6333,29.7333,19.92,97,95,10.87,BY,1611954993
447,Bambous Virieux,-20.3428,57.7575,80.6,83,40,11.5,MU,1611954993
448,Siilinjärvi,63.0833,27.6667,23.0,93,90,3.44,FI,1611954993
449,Bukama,-9.2,25.85,70.95,86,96,1.14,CD,1611954993
450,Saravan,39.7196,45.6483,32.0,86,75,4.61,AM,1611954993
451,Narsaq,60.9167,-46.05,44.6,29,75,26.46,GL,1611954994
452,Kupang,-10.1667,123.5833,75.2,100,75,5.75,ID,1611954994
453,Babati,-4.2167,35.75,66.18,71,96,2.93,TZ,1611954994
454,Bayir,37.2687,28.2167,42.8,87,75,4.61,TR,1611954994
455,Ankazobe,-18.3167,47.1167,64.4,94,40,2.3,MG,1611954782
456,North Bend,43.4065,-124.2243,48.2,76,20,8.05,US,1611954994
457,Malinovskiy,61.1953,62.8397,-13.95,89,100,7.58,RU,1611954994
458,Imeni Babushkina,59.7573,43.1285,17.65,97,100,5.84,RU,1611954994
459,Batemans Bay,-35.7167,150.1833,69.01,97,100,3.0,AU,1611954994
460,Statesboro,32.4488,-81.7832,55.4,35,1,3.44,US,1611954994
461,Usevya,-7.1,31.2333,65.64,88,90,2.59,TZ,1611954867
462,Chingola,-12.529,27.8838,62.71,95,100,2.17,ZM,1611954995
463,La Libertad,-2.2333,-80.9,84.2,79,0,8.05,EC,1611954738
464,Keti Bandar,24.1447,67.4497,62.46,67,0,8.25,PK,1611954995
465,Makakilo City,21.3469,-158.0858,78.8,57,1,8.05,US,1611954995
466,Launceston,-41.45,147.1667,64.0,100,90,10.36,AU,1611954995
467,Morondava,-20.2833,44.2833,82.54,77,100,3.24,MG,1611954995
468,Santa Fe,-31.6333,-60.7,91.09,31,7,2.08,AR,1611954988
469,Carmelo,-33.9892,-58.2856,82.4,54,75,6.91,UY,1611954995
470,Kérouané,9.2667,-9.0167,75.47,18,17,2.51,GN,1611954995
471,Chaihe,44.7667,129.7,-13.4,89,100,2.55,CN,1611954995
472,Lamu,-2.2717,40.902,78.8,78,1,9.22,KE,1611954996
473,Stokmarknes,68.5646,14.9108,23.0,68,0,18.41,NO,1611954996
474,Norman Wells,65.282,-126.8329,-31.0,75,20,3.44,CA,1611954996
475,Longford,53.7333,-7.8,43.52,91,100,13.11,IE,1611954996
476,Shimokizukuri,40.8061,140.3861,26.01,65,100,27.0,JP,1611954800
477,Faranah,10.0404,-10.7434,77.11,17,0,4.88,GN,1611954996
478,Cascais,38.6979,-9.4215,57.99,100,100,12.3,PT,1611954996
479,Luau,-10.7073,22.2247,66.11,96,88,0.58,AO,1611954996
480,Bolondrón,22.7633,-81.4469,69.8,64,40,14.97,CU,1611954996
481,Tumut,-35.3,148.2167,68.0,100,90,4.61,AU,1611954996
482,Yulara,-25.2406,130.9889,78.8,65,100,10.36,AU,1611954997
483,Skjervøy,70.0311,20.9714,21.2,73,40,23.02,NO,1611954997
484,Cabinda,-5.55,12.2,78.17,87,100,7.78,AO,1611954997
485,Hamada,34.8833,132.0833,28.99,15,31,11.43,JP,1611954997
486,Pedernales,18.0384,-71.744,79.21,61,8,3.38,DO,1611954997
487,Buraidah,26.326,43.975,59.0,44,0,5.75,SA,1611954997
488,Ketchikan,55.3422,-131.6461,32.0,86,90,5.75,US,1611954997
489,Ust'-Ilimsk,58.0006,102.6619,-28.26,81,92,4.5,RU,1611954997
490,Paris,48.8534,2.3488,48.2,81,0,9.22,FR,1611954995
491,Abu Samrah,35.3029,37.1841,44.13,74,37,10.6,SY,1611954997
492,Sechura,-5.5569,-80.8222,82.6,56,1,15.64,PE,1611954997
493,Tual,-5.6667,132.75,83.14,75,100,13.71,ID,1611954998
494,Jadu,31.953,12.0261,55.81,44,0,10.49,LY,1611954998
495,Tarakan,3.3,117.6333,77.0,94,40,3.44,ID,1611954842
496,Novo Aripuanã,-5.1206,-60.3797,85.57,74,25,2.01,BR,1611954999
497,Fonte Boa,-2.4959,-66.2662,89.38,55,22,3.53,BR,1611954781
498,Campbellsville,37.3434,-85.3419,39.0,51,1,3.44,US,1611954999
499,Orodara,10.9492,-4.9342,80.6,28,32,5.75,BF,1611954999
500,Ternate,0.8,127.4,79.16,82,76,6.82,ID,1611954999
501,Skagen,57.7209,10.5839,21.0,92,97,4.0,DK,1611954968
502,Los Llanos de Aridane,28.6585,-17.9182,64.99,94,20,5.75,ES,1611954999
503,Nouakchott,18.0858,-15.9785,71.6,53,15,8.05,MR,1611954999
504,Taltal,-25.4,-70.4833,70.9,56,22,5.06,CL,1611954999
505,Carauari,-4.8828,-66.8958,83.79,80,95,1.23,BR,1611954999
506,Cap-aux-Meules,47.3821,-61.8597,26.6,80,100,17.27,CA,1611955000
507,San Jerónimo,-11.9472,-75.2829,62.83,46,99,5.53,PE,1611955000
508,Morehead,37.2711,-87.1764,44.01,31,1,6.91,US,1611955000
509,Pilar,-9.5972,-35.9567,77.0,88,75,4.61,BR,1611955000
510,Te Anau,-45.4167,167.7167,47.79,76,45,0.78,NZ,1611955000
511,Manono,-7.3,27.4167,71.08,87,59,1.92,CD,1611955001
512,Listvyagi,53.6772,86.951,21.43,96,100,13.56,RU,1611955001
513,Stornoway,58.2093,-6.3865,37.4,75,40,6.91,GB,1611955001
514,Uspenskoye,44.8311,41.3927,32.0,100,75,6.71,RU,1611955001
515,Prainha,-1.8,-53.48,85.55,61,98,4.9,BR,1611955001
516,Buta,2.7858,24.73,74.17,75,63,2.48,CD,1611955001
517,Kitaibaraki,36.7833,140.75,30.99,48,0,26.04,JP,1611954725
518,Tornio,65.8481,24.1466,15.8,86,20,8.05,FI,1611955002
519,Olafsvik,64.8945,-23.7142,33.51,93,100,1.68,IS,1611954720
520,La Ronge,55.1001,-105.2842,8.6,78,100,2.3,CA,1611955002
521,Luganville,-15.5333,167.1667,81.81,78,97,2.57,VU,1611955002
522,Ambon City,-3.6954,128.1814,77.0,83,40,3.44,ID,1611955002
523,Fernie,49.5,-115.0687,37.4,80,98,6.91,CA,1611955002
524,Samoylovka,51.184,43.7081,28.02,97,87,14.54,RU,1611955002
525,Kenora,49.8167,-94.4337,17.6,73,75,10.36,CA,1611954776
526,Grand-Lahou,5.1367,-5.0242,78.67,87,43,7.61,CI,1611954974
527,Barsovo,61.1667,73.1667,-38.2,67,0,4.7,RU,1611955003
528,Samaná,19.2056,-69.3369,75.2,94,75,6.26,DO,1611955003
529,Barcarena,-1.5058,-48.6258,84.2,74,75,9.22,BR,1611955003
530,Quthing,-30.4,27.7003,63.14,51,99,1.52,LS,1611955003
531,Atambua,-9.1061,124.8925,74.59,91,100,5.91,ID,1611955003
532,Tahoua,14.8888,5.2692,71.6,23,0,6.91,NE,1611955003
533,Amuntai,-2.4177,115.2494,72.16,87,100,0.92,ID,1611954878
534,Pringsewu,-5.3582,104.9744,72.23,94,100,1.57,ID,1611955003
535,Ancud,-41.8697,-73.8203,62.6,51,0,8.05,CL,1611955003
536,Zinder,13.8072,8.9881,68.34,23,0,11.5,NE,1611955004
537,Okoneshnikovo,54.8377,75.0834,10.4,96,100,5.59,RU,1611955004
538,Salisbury,51.0693,-1.7957,46.4,81,75,12.66,GB,1611954856
539,Noumea,-22.2763,166.4572,80.6,69,75,5.75,NC,1611955004
540,Yeghegnut,40.0919,44.1602,30.2,86,96,2.42,AM,1611955004
541,Saint Anthony,45.0205,-93.218,25.0,68,90,9.22,US,1611955004
542,Singkang,2.1006,102.7994,75.2,83,20,3.44,MY,1611955004
543,Whitehorse,60.7161,-135.0538,-0.4,71,75,14.97,CA,1611954905
544,Yinchuan,38.4681,106.2731,25.74,75,71,3.69,CN,1611955004
545,Diffa,13.3154,12.6113,69.64,24,0,12.28,NE,1611955004
546,Le Port,-20.9373,55.2919,78.8,65,0,12.66,RE,1611955005
547,Cuxhaven,53.8718,8.6909,30.2,93,75,19.57,DE,1611955005
548,Matale,7.4721,80.6234,68.99,93,88,2.53,LK,1611955005
549,Byron Bay,-28.65,153.6167,73.4,88,75,5.75,AU,1611955005
550,Broome,42.2506,-75.833,16.0,62,20,14.97,US,1611954921
551,‘Āhuimanu,21.4447,-157.8378,78.8,61,75,13.8,US,1611955005
552,Gao,16.6362,1.637,70.41,20,0,11.74,ML,1611955005
553,Chicama,-7.8447,-79.1469,73.4,78,20,12.66,PE,1611955005
554,Kharakvasla,18.4333,73.7667,68.83,36,97,2.46,IN,1611955005
555,Ust'-Kut,56.7938,105.7672,-25.1,82,100,3.4,RU,1611955005
556,Noyabrsk,63.1994,75.4507,-41.03,80,16,8.08,RU,1611955006
557,Kidal,18.4411,1.4078,68.31,22,0,11.32,ML,1611955006
558,Sarangani,5.4033,125.4636,81.5,73,73,17.96,PH,1611955006
559,Luanda,-8.8368,13.2343,80.6,78,20,6.91,AO,1611955006
560,Chifeng,42.2683,118.9636,5.31,85,6,3.8,CN,1611955006
561,Nago,26.5881,127.9761,55.4,76,75,5.75,JP,1611955006
